Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
9931.212000000001,9274.060525,121219.94,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),Application Server,Amazon EC2 ,6696.144,4246.53054,57654.51,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Daily, (Workload days: Monday, Tuesday, Wednesday, Thursday, Friday, Baseline: 2, Peak: 12, Duration of peak: 8 Hr 30 Min)), Advance EC2 instance (c7g.2xlarge), Pricing strategy ( 3 Year  All upfront), Enable monitoring (disabled), EBS Storage amount (10 TB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Web Application,Amazon EC2 ,3185.136,437.279985,8432.50,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Daily, (Workload days: Monday, Tuesday, Wednesday, Thursday, Friday, Baseline: 2, Peak: 8, Duration of peak: 8 Hr 30 Min)), Advance EC2 instance (t4g.xlarge), Pricing strategy ( 3 Year  All upfront), Enable monitoring (disabled), EBS Storage amount (1 TB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Database (Master),Amazon RDS for MariaDB,0,2027.1599999999999,24325.92,USD,,"Storage volume (General Purpose SSD (gp3)), Storage amount (1 TB), Quantity (1), Instance type (db.m7g.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment selection (Multi-AZ), Pricing strategy (OnDemand), General Purpose SSD (gp3) - IOPS (24000), General Purpose SSD (gp3) - Throughput (2000 MiBps)"
My Estimate,US East (N. Virginia),Bastion Host,Amazon EC2 ,49.932,0,49.93,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (t4g.nano), Pricing strategy (Compute Savings Plans 3 Year  All upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,23.55,282.60,USD,,S3 Standard storage (1 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (100 TB per month)"
My Estimate,US East (N. Virginia),,AWS Web Application Firewall (WAF),0,20,240.00,USD,,"Number of Web Access Control Lists (Web ACLs) utilized (2 per month), Number of Rules added per Web ACL (5 per month)"
My Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,870.4,10444.80,USD,,Data transfer out to internet (10 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,921.6,11059.20,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (10 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (921.6)"
My Estimate,US East (N. Virginia),Database (Read Replica),Amazon RDS for MariaDB,0,727.54,8730.48,USD,,"Storage volume (General Purpose SSD (gp3)), Storage amount (1 TB), Quantity (1), Instance type (db.m7g.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment selection (Multi-AZ), Pricing strategy (OnDemand), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
